	overall	DDF Tumor	HUH7	Hep3B	HepG2	NAT	Standard Tumor
ZN749.H14CORE.0.P.C	2.2723693224849164	2.021362325335973	2.1826061290647645	1.5211242812886139	2.948373337487064	3.037035894568255	1.3791255999647765
ZFX.H14CORE.0.P.B	2.591124669305252	5.524091418772377	2.1314684169866482	1.2606220321423613	0.22891110525284755	1.478646523739501	1.1818861838305699
SRF.H14CORE.0.PSM.A	3.794537888064177	0.593590457448072	4.08988718574794	1.569721925019474	2.0781608157614606	7.400803289605384	2.785123202108227
ZN778.H14CORE.0.P.C	2.7016275625264656	1.1515544568287424	3.032300107990892	0.7724774038744242	2.733853699318673	4.825934657831828	1.3825717331173344
SPI1.H14CORE.0.P.B	6.0443519718522305	3.4625694885599585	0.023017878122656307	0.7071625833824112	0.02605663263712896	13.641693595316555	4.540778045230006
PO3F2.H14CORE.0.P.B	4.018719979435541	7.922928007737047	1.8729972130898636	1.614655539603113	2.0744110945753738	4.8683234364656975	0.09427555224017842
SRBP2.H14CORE.1.P.B	1.5702371015315215	2.306313742650251	0.6603673144336438	1.4789863987164555	0.5607969832843719	2.046336351609691	1.5327468064486678
Z705G.H14CORE.0.P.C	3.20177744225606	5.315387690906109	0.4224750066421923	0.5267444726021207	0.18359547597834056	4.87671232490044	2.9971571804816324
ZN649.H14CORE.0.P.C	3.872830983910916	8.226563401830717	2.876886348641845	2.828786142602231	0.5193412620972351	2.206686259371449	0.9480969770577546
GRHL2.H14CORE.0.P.B	5.29473057604231	9.494504638654965	0.08654001758852696	0.762671188802754	1.357487374780797	8.628695831782075	1.0830940203171375
PRDM9.H14CORE.0.P.B	4.820013830272984	1.1553940518657273	1.1278851618728265	0.23738689526744494	1.3048162696148198	10.951350834106481	3.885505946913027
ZN433.H14CORE.0.P.C	5.111265207126405	7.6701129717041585	2.592385445783674	3.338419503309823	0.2264304981869082	8.845670354908549	1.325479999461967
ZKSC1.H14CORE.0.P.B	3.8943339398966574	4.243111452185622	1.578296924486341	2.0607399523515704	0.028707636354725622	7.342395148735116	3.5130848602478015
HNF1A.H14CORE.0.PS.A	18.3747753513877	34.07520339673743	0.5699630945591085	2.885365155164134	1.2020635178199346	29.155400965645363	2.1312382735257143
ZN558.H14CORE.0.P.B	2.786896337968532	1.5054781745281491	4.09076500497298	1.8719289177791227	1.938319325961348	4.1908027025393775	1.6661024450429147
REST.H14CORE.0.P.B	3.381327643331934	3.5005304034553033	5.820345543681957	0.5695979521678559	4.069651011712399	1.5710366806016338	1.765068553895117
ZBT7B.H14CORE.0.SM.B	3.4743515282335227	5.406738741839046	0.2119219927414272	1.930367096493999	0.8799609442281321	6.100234875436425	1.1981079128511414
BATF2.H14CORE.0.PSG.A	3.301428264228045	5.877831037652835	1.4859558490934293	2.0036081937639727	2.9443874201489777	3.209613596838249	2.3778407211910073
ZN480.H14CORE.1.P.C	5.282136637886821	0.39207184469018413	2.236692210078712	0.12163018391996697	2.1410655974207544	12.034694139365545	3.5800102753530845
ZN143.H14CORE.0.P.B	1.6077755903579416	2.800338890087017	0.23069916814725386	0.22702840805010693	0.23092544404586535	2.7400656376891606	0.04130291240204139
ZNF43.H14CORE.0.PSGI.A	3.394452091607747	3.1089677925619457	2.252607564178382	2.489551134347494	4.00567898110943	5.436862527738106	1.609691071039577
