	overall	DDF Tumor	HUH7	Hep3B	HepG2	NAT	Standard Tumor
ZNF12.H14CORE.1.M.C	3.8151830200542447	7.811245730475865	0.23563901820226302	2.646603809355241	1.1642933515174227	4.223982662219871	0.24601420176321226
ZSC31.H14CORE.0.P.C	2.697411818762742	4.702870342223735	0.3995399641746775	1.9873204225063985	1.5021415230031163	3.8819691864765113	0.3224982165392575
ZN584.H14CORE.0.P.B	4.157223335364839	0.7708254044465007	2.6127415203917916	0.49945324157428056	1.72233856236097	9.047454622939895	3.3469547780066016
ZFP69.H14CORE.0.P.C	4.131509802439332	3.284320029737888	1.9630221146198863	2.8444587698704313	0.19031637293034093	8.53581027550987	2.605533060794176
ZNF8.H14CORE.0.P.C	3.7494654762430204	1.7018768388985694	0.009878234028039126	2.557489623010661	2.221517217071101	7.889367134073394	2.7814492799968353
SP1.H14CORE.2.P.B	6.612272927010398	4.030988960080543	1.419699754461186	4.6883801534535205	2.983491442672346	14.058525383568913	3.9426177301752445
ZN214.H14CORE.0.P.B	2.5426360431992148	2.0259368779819122	0.0006926982451378776	0.3471075939428287	0.08509000600342895	5.643329021734773	1.6464146310113386
PAX7.H14CORE.2.PM.A	2.8781134568198903	2.312233518535674	0.9003381524786921	0.7015286882592248	0.4123444754530269	6.167257741288102	2.2015792682873037
GRHL2.H14CORE.0.P.B	3.8958116080850993	7.819440298441365	1.1112336271875587	1.6833715358462453	1.1373684719988901	4.94894989495275	0.2571962820788546
ZN436.H14CORE.0.P.C	3.9856295783215265	4.529807791956345	0.08943942798209675	0.7226715524803629	0.1646960670736259	8.354896783579575	2.104904163770926
ZN721.H14CORE.0.PSG.A	2.35052117545889	3.5803530063899105	0.952830484281706	0.8100819906742331	0.9366726093033548	4.15534375172507	0.788932881750791
ZFP90.H14CORE.1.P.C	5.796601581640011	6.424526661347187	0.5746318564899262	3.0955934563820287	2.2501782641707786	11.752481310870492	2.6892334883146325
ZN133.H14CORE.0.P.B	0.03813896841190585	0.001571912975738895	0.005220324360994414	0.006146164125684594	0.009091680741572301	0.0695248879172622	0.061185118617474506
FER3L.H14CORE.0.SM.B	4.502867563646363	0.38570474080140954	2.827004641779407	2.5352627443949087	4.230552653024082	8.9490947318004	3.017075559353564
FOXK1.H14CORE.0.PS.A	10.626866161081567	11.412908453731472	0.5905987687643349	1.130201767742225	0.3099647176149621	22.926525438460594	4.46983414814992
ZN841.H14CORE.0.PSGI.A	2.1232555387637455	0.30577659093556	0.9065951190340982	1.214486360506519	1.5960605972756299	4.4660277602825875	1.4717608359641878
ZN669.H14CORE.0.P.B	3.39575751265086	6.119484329944445	0.7876392312185926	2.2197399882311633	2.7225760989591214	4.294135792388472	0.5824792287374718
MTF1.H14CORE.0.SM.B	5.274527212868461	1.4681783365060315	2.0328116611364972	3.741288714303257	4.475967577183892	10.848759601931073	2.9847681889948188
MYNN.H14CORE.0.P.B	3.2053377036557684	0.34512180125676467	2.555567208211206	1.4451125518676218	3.2393424085050553	6.022530919820364	2.478414361276032
ZN668.H14CORE.0.SG.A	1.5554427383702178	2.8783069644072494	0.8534020713373015	0.3907547373470681	0.6580514108907285	1.9902330584618804	0.9781196482255106
KLF10.H14CORE.1.PSM.A	5.069543772093409	2.5383680917252436	7.19714873832718	1.1636083837595281	6.528051239701635	7.035827824135479	1.577045079421817
