	CDX08.1	CDX20P.1	CDX03P	CDX17.2	CDX20P.2	CDX03.1	CDX17P.2	CDX17.1	CDX08P	CDX42	CDX08	CDX20.2	CDX42P.1	CDX42P.2	CDX17P.5	CDX03.3	CDX03P.2	CDX42.2	CDX42.1	CDX17	CDX18P.1	CDX08P.1	CDX03	CDX18.1	CDX08P.2	CDX42P	CDX03P.3	CDX17P.3	CDX20P	CDX20	CDX03P.1	CDX17P	CDX18	CDX17P.1	CDX18.2	CDX08.2	CDX20.1	CDX18P	CDX03.2	CDX17P.4	CDX18P.2
PRD14.H14CORE.0.P.B	0.000929234463185092	-0.001790037231636954	-0.0042004366705435114	0.0009558301330159658	-0.0017674984632562295	-0.00356977444153498	0.0027700717537237378	-0.00043395122630585786	0.0010584705487342236	0.0037359996064109634	0.0003855790004585946	0.001459784233909885	-0.0007734100328216399	0.00011859276192366722	0.0023034402773447187	-0.0029882134969511503	-0.005074300110982392	0.0037059449115742008	0.0032608980454960114	0.0016685453649483888	0.0025203315912355716	0.0016557748773545974	-0.0021619450738387183	-0.0016371353339718082	0.00105672408256648	-0.0009593959916818339	-0.010217589754740401	0.0023739427009602685	-0.0013452672419572184	0.0016071781627258735	-0.005352761347015879	0.002642075144650463	-0.0016792664092711435	0.004284061289676533	-0.0016020829279829625	0.0008347096320189262	0.0006249873430232977	0.0028847119496582425	-0.004065882375079356	0.0018312317349921644	0.0025175918197661643
PRD15.H14CORE.0.P.B	-3.830507032726374e-05	-0.001025021032379148	-0.004361474723415543	6.626566760992072e-05	-0.000658272304361193	-0.001940271660312201	-0.001880792344082892	0.0008023326832790967	0.0010421525283560319	0.0021935557694245066	-0.0004399166357716669	-0.0021084595042254774	0.0027614704250891343	0.003076011437880692	-0.0021925261016837276	-0.005235096455547816	-0.0038146036855531557	0.0021642296233897046	0.0021684310120151165	-0.0005540126577908413	0.0033990992232615126	0.0021162453532136832	-0.0012650111944745093	0.0036018623518702247	0.0013159964843197439	0.0038249395155924883	-0.0060148971183370675	-0.002559834949710462	-0.0007272702650927927	-0.0019559568762629286	-0.0038175449827057284	0.0006645325300452471	0.0044566745188244754	0.00021273770992202476	0.0042821811643383376	0.0005389475596836273	-0.0002638186798932605	0.004392519388251696	-0.003710672549752589	-0.002484967694217577	0.004592496169311885
PRDM1.H14CORE.0.S.B	-0.00039794708345547783	-0.0006477804801928961	0.0007450191112543278	0.0007663431319961682	-0.0005664608795854387	0.0009231092891842738	0.00032274039927004787	0.0006203707165712865	7.228548959972063e-06	-0.00036396059480261805	-0.0005175460959583962	-0.0006380715802199744	4.230796028795533e-05	0.00034793289142842165	-0.00010233258321474078	0.0001734372005026438	0.0006919801520199001	3.949045870971636e-05	-0.00013168611178060972	0.0009265583430463287	-0.0004832824409444416	-0.00023132795641108068	0.0006357520815092515	-0.0004906372007104749	0.00018245040714696037	-9.747297880326498e-05	0.0007985635273164502	-0.00036599454907731624	-0.0004319259165035654	-0.0007101119013275973	0.0008697909828117955	0.00027258581402751704	-0.0002935080783869256	0.00048109281851899246	-0.0005176313032569191	-0.0007204763396385155	-0.0007245758556611599	-0.0006012433793175659	0.0005110908342023453	-2.1199366300083864e-06	-0.0005511146674424463
PRDM6.H14CORE.0.P.B	0.0020770547787798826	-0.0036667704820819522	0.01241359771145363	0.012155884187763222	-0.0034087064303816236	0.02239330320717385	0.014209606470731495	0.011370384575792588	0.006569391706631213	-0.03619086132421094	-0.004764444708606732	-0.009744818248525564	-0.02660478349936843	-0.022499942522762655	0.011953784919155722	0.012701034796341326	0.014907330259429728	-0.032605366471112535	-0.035535661596853986	0.015079429362456365	-0.010057669476424239	0.005464550524784076	0.01997309689964323	-0.0021521931992801585	0.009450490386147235	-0.025162452266262344	0.020577479749989802	0.012591993170011601	-0.00600118664334469	-0.010175221453140842	0.01217223183910441	-0.00039981905919734986	0.0027021686969793957	0.00026782926932111036	-0.002803233129126531	-0.004561347611236319	-0.008048594250126329	-0.008170795179045093	0.017893491844992712	0.01144355050385571	-0.0066861719773422534
PRDM9.H14CORE.0.P.B	-0.0011542088664172334	-0.003090039843564176	0.0009618411663976055	0.0033051690329491566	-0.004815072309621153	0.005891151085995571	0.003627676718876439	0.0038086435307487223	0.0022859223436604206	-0.002256619318380497	0.00025314655406427687	-0.007072926816465701	-0.0008664942758927919	0.0006927357107539642	0.0007441577721341246	0.0007936757223286767	0.0010714765055482942	-0.0016737973062495894	-0.0029231656332834484	0.003572350217027391	-0.004512525341910562	0.0023073532713358824	0.003916836357783088	-0.004551896705622952	0.0010167808905747052	0.0011122102113215963	0.0013175172121866197	0.002902929062113196	-0.003755248028631611	-0.006499013334121055	0.0008420515217942987	0.006975708588008226	-0.004792899297808803	0.00973668549796362	-0.004172786234257698	0.0003626544136736687	-0.005341057424853815	-0.003395973673428747	0.00022953185028767517	0.0012534526702590578	-0.002471296657812823
PROX1.H14CORE.0.SM.B	-0.0018434989591807963	0.002251391927851328	0.0005705954862398536	-0.0005917405723182647	0.0025468249484723576	0.002596936716651797	-3.860578037659184e-05	-9.804064641342146e-05	-0.0012693705710953105	0.0017026788262693021	-0.002620433230502259	0.002692646290446448	0.0003130512372332842	0.0004301323612660216	-0.00022247910383475905	0.0021486228195559537	0.0007722279003239626	0.0018367004005847747	0.0020774488175586015	-7.35607940224864e-05	-0.0022206017820355626	-0.0004017346299694264	0.0024663773288497357	-0.002826360266421091	-0.001302387487196233	0.0008983336797867396	-0.0007038856949010096	6.466247279694379e-05	0.0016564896149525708	0.0032174597683259656	0.0007287683326521898	-0.0023057953439314955	-0.0030057604843635732	-0.0028116467787373902	-0.003102572149072105	-0.001825608133754075	0.0024726281608302017	-0.0019374286930335565	0.0013292768216288421	-0.0005035334249938063	-0.0017697204581698803
PURB.H14CORE.0.B.B	0.0010676218005223233	-0.0005765138545661369	-0.0009732616869863545	-0.0015111190278482968	-0.0008855804090791091	-0.0019342505376078655	-0.001705015371343474	-0.0018963919990469915	0.0002739931791890752	-7.393906423764154e-05	0.0009999092714508594	0.0009187334574331683	-0.00023573907812675984	-0.0004934719602235028	0.0006466282528943725	0.0028067219868462973	-0.0004988891537223107	-0.00038334858099738425	-0.0003121963892653533	-0.0016495815649543925	0.0003961205913969937	0.0009795386847883582	-0.0016964496809436808	0.0019046911861787703	-0.00016389937332561902	8.872276189082068e-05	0.0022580589516202725	0.0018906507585984018	-0.0009938425622472622	0.0010303876299164196	-0.0010174013411581688	-0.0008977956926394517	0.00028211591425210576	-0.0005209605958484938	0.002052030157316355	0.0013668800278996245	0.0007743042167317584	-0.0006398678472679751	-0.0006407069944908434	0.00035609488940973526	-6.653133676284839e-05
RARA.H14CORE.1.P.B	-0.004791803667391556	-0.00982532224030876	-0.005302406806624839	0.004872285855338256	-0.007967528009954858	-0.000899617102687017	0.0010770272692770134	0.0015413518711470588	-0.005341589492689251	0.009468751749365623	-0.003366374050819739	-0.007630268284032411	-0.0007757510786299271	-0.0012459531960251659	0.004059302983996876	0.002100909908116788	-0.006463135181924533	0.008890952735511673	0.008102475608869467	0.014582137562859058	0.006735881890850823	-0.0026133932425943807	-0.0036434965882459758	0.005633505305903841	-0.004118084261662346	0.0013433873017349683	-0.009460959495235774	0.005511095104570525	-0.010797160679487149	-0.00412478875112713	-0.004606077303815251	0.002150575555696321	0.0005782113135626848	0.003242210606525053	0.0049383775069816865	-0.003077501842019964	-0.005786095772427769	0.004618636959078146	-0.0019953702117010835	0.00482033681286568	0.0062320046993507155
RARG.H14CORE.0.P.B	-0.0009238575837662716	0.005588910493816785	0.006796421869472165	-0.009423391329777583	0.0020225793754903906	0.0021461699914255283	0.00046004720745675305	-0.015861912025051404	-0.005031915516855993	0.013567284863404153	0.0003843528163778654	0.002569324926137026	0.008216016495631109	0.00496331772037081	-0.0011047928176633093	0.00034688674939725717	0.005037603959164357	0.011025120051807849	0.010840358603162986	-0.0007500876260460136	-0.014606555740345264	-0.0031086245685372285	-0.0016568649224578264	-0.008736848187378916	-0.00495808983696645	0.007158368299358321	0.007554128650696615	0.0016719140320544251	0.005530340130731493	0.0052761109016734725	0.006501337587057517	0.0009871569928915505	-0.010523393568313912	-0.0019215696136382597	-0.008820198324925813	0.004571443470228198	0.00605414723897597	-0.013732046375555584	0.0013246913304055252	-0.003416004802243854	-0.012157363255905398
RBAK.H14CORE.0.P.C	-0.0028032510176746253	-0.0008647713069519832	0.0023607781421974908	-0.002609148949508849	1.2694537249301197e-05	0.0022950855425235613	-7.459722762481356e-05	-0.0027493928827333103	-0.0018583623139375883	-0.0003398999178394167	-0.0024704615009165896	0.001184272073909338	0.0002127511507404225	-0.00012330780528428762	9.228652093826314e-05	0.0032679657182211816	0.003111377663922431	-0.00026528978077962687	-0.00044696754766864605	-0.0009327462439635069	-0.0012228898505123459	-0.0017092845669264105	0.0023370422130789825	9.40903320256932e-06	-0.00141304280958893	0.0002655755199939096	0.0030621164539566433	2.753245411623185e-06	-0.0011238384946753283	0.0020256551436981245	0.002922680106589296	0.00048261728363615543	-1.3407637968644928e-05	-0.0004867299220681631	-0.000384615426573651	-0.0020481800573990197	0.0008465124454430026	-0.0016296947174360733	0.0029248873740406363	0.00022117036803827772	-0.0006467218312543876
