	ASCL1	ATOH1	NEUROD1
KLF3.H14CORE.1.M.C	0.7241513769619832	-0.48090921665541747	-0.56325478317779
KMT2A.H14CORE.0.P.B	-0.7036308279200943	-1.500864395381672	3.5437723790493596
KMT2B.H14CORE.0.P.B	-2.3368206002646743	3.318935900291168	0.3437333529845163
LRRF1.H14CORE.0.P.B	2.7074023067876785	-2.72262534296262	-1.8364585761075654
MAFG.H14CORE.1.PSM.A	3.889868380097264	-4.353251607023941	-2.022699585711255
MBD1.H14CORE.0.PSIB.A	-1.7906618349868997	2.8028105887663357	-0.003868546466369929
MBD3.H14CORE.0.P.B	-0.9834479768056495	-2.716854797851754	5.186749589200967
MCR.H14CORE.0.S.B	3.5802347217193073	-2.1550771243670153	-4.0823580240996975
MEF2A.H14CORE.0.P.B	-4.002064092267484	3.864474962514519	3.0012641301404677
MEF2D.H14CORE.1.M.C	2.799133286094611	-2.9688870431055636	-1.819657245659537
MEIS2.H14CORE.0.P.C	-2.436534873495157	3.0827629199662776	0.738154709248498
MSD4.H14CORE.0.SGIB.A	1.8189188907271692	-0.6230449695527769	-2.8021163896631425
MYB.H14CORE.0.P.B	-0.8811381512702939	-1.3225282242313057	3.0376789841310745
MYBB.H14CORE.1.S.B	0.690120570013568	-0.6546398939271748	-0.46339064196735014
MYCN.H14CORE.1.M.C	-4.145721899104273	3.039810880555603	4.110835906704438
MYNN.H14CORE.0.P.B	5.799760962141749	-3.2445414881984336	-6.968029748394353
MYSM1.H14CORE.0.P.B	-2.151389676787884	3.7422210267234237	-0.4899726007887504
MYT1.H14CORE.0.SG.A	-2.143624998355734	4.452723721743382	-1.4261601000950668
NACC2.H14CORE.0.PSGIB.A	0.9291882243624225	0.44693841276783247	-1.8286126843028387
NANOG.H14CORE.0.P.B	1.5671291060487098	-1.2615839986606807	-0.6693846554442813
NANOG.H14CORE.1.P.B	-0.048845770567591595	-2.02796559103605	2.572008176296055
NF2L2.H14CORE.1.P.B	1.2604583736252404	1.0486397324178074	-3.7351858583198094
NFIC.H14CORE.0.PSM.A	-5.6210734906303	6.500363257373794	2.7721834218203956
NFIC.H14CORE.1.PSM.A	-4.0657948416702805	0.2604995233437241	7.337031568236432
NFKB1.H14CORE.0.PS.A	2.5206443355479347	-1.3410090887681587	-3.3715601167860823
NFYC.H14CORE.0.P.B	2.973787694345856	0.7772685586968299	-6.421574667885132
NKX23.H14CORE.0.SM.B	-2.349964549466421	2.478266205757951	1.1733400421672195
NKX61.H14CORE.0.PS.A	-0.2961045539007518	-3.1482277938989824	4.245787546691976
NKX61.H14CORE.1.P.B	-3.3335464233898944	0.06417431414321614	6.3537441805241865
NPAS4.H14CORE.0.P.B	-0.0007905481540886135	0.0024815723204915556	-0.0018778586472676501
NR1D1.H14CORE.1.SM.B	-1.7201503617073384	3.379672833230246	-0.9986641281338349
NR2C1.H14CORE.0.S.C	2.9307534183298456	-1.7272713924732304	-3.216398019861559
NR2E1.H14CORE.0.SM.B	-2.0072945017101453	1.6084581818501356	1.7890858579274591
NR6A1.H14CORE.2.SM.B	0.989461573936403	-1.3524147159134075	-0.14078924597203005
NRF1.H14CORE.0.PS.A	0.5563745552282574	2.964854879468764	-4.727939812889405
OLIG1.H14CORE.0.S.B	-2.7266808061708865	3.046131923377558	1.239938027056887
PAX7.H14CORE.0.P.B	-2.5979797216557685	4.340329620434505	-0.4202943044787265
PAX7.H14CORE.2.PM.A	2.1395946712174356	-0.8988957342422546	-1.6867832158483653
PAX8.H14CORE.0.PSM.A	-2.5685793322652337	1.6701947774659505	1.5043741356094706
PF21A.H14CORE.0.B.B	-0.5565539259705092	-2.673869794272644	4.488828800783341
PIT1.H14CORE.0.SM.B	-1.3076666981309404	1.4213669693086177	0.6303794155619191
PITX2.H14CORE.0.SM.B	-1.849887204507944	0.5557987187672797	2.6665296868570225
PO2F2.H14CORE.0.PSM.A	-2.3219678424184043	1.536996729261086	2.190330508755549
PO3F2.H14CORE.2.SM.B	-1.0745668006421887	2.1367472284571383	-0.5346772503571062
PO4F1.H14CORE.1.SM.B	-2.7007368674159387	5.2554289775023575	-1.4073733156810153
POGK.H14CORE.0.SI.A	1.1745568329132394	-1.7823908333373257	0.116757691957676
PRD10.H14CORE.0.PSGI.A	-4.078381946713282	5.827481378403788	0.6630862262882955
PRD14.H14CORE.0.P.B	-1.138670665127034	1.237877666946649	0.765285717973304
PRD15.H14CORE.0.P.B	0.24727514319273766	-1.0481108735112217	0.7411702738536428
PRDM1.H14CORE.0.S.B	-0.6395217729801566	1.1953279000814485	-0.5183950222242285
PRDM6.H14CORE.0.P.B	-1.9333746319636727	3.260608537395445	-0.4028649942015549
PRDM9.H14CORE.0.P.B	-2.34714645254185	3.2125656287120194	0.44291514809516813
PROX1.H14CORE.0.SM.B	2.037264551346146	-1.5185554827313033	-1.529885650222548
PURB.H14CORE.0.B.B	0.14150133791790928	-1.1776434758104386	1.0719353976948414
RARA.H14CORE.1.P.B	-0.7006466250283575	2.4801524566443973	-1.7610114404371642
RARG.H14CORE.0.P.B	1.1418324650542204	-1.713165172834117	-0.269797695383143
RBAK.H14CORE.0.P.C	1.8728867036028636	-0.7269301178021557	-2.2557342120451827
REL.H14CORE.0.P.B	2.2575071414178054	-1.7720074149282574	-1.9924296454634836
REST.H14CORE.0.P.B	-5.617191458824835	3.4095511082807475	6.536118418830081
RFX1.H14CORE.2.S.C	2.2826025785383592	2.0318999894828287	-6.947890258277718
RFX3.H14CORE.2.S.B	0.6363200170026907	-0.7716202593046076	0.1699671596272941
RFX4.H14CORE.0.SM.B	7.075788111948047	-8.027149211314265	-3.5863356908491686
RXRG.H14CORE.1.SM.B	-0.09183945751503679	2.5635656849151345	-3.2070771931505324
S2A4R.H14CORE.0.PSG.A	0.5551214236113705	-1.4316248755446168	0.6712844426320367
SCRT1.H14CORE.0.PSM.A	3.5954925876206154	-1.6208108029940773	-4.72144296809868
SIX1.H14CORE.0.P.B	4.985047317387183	1.6708829605401527	-11.379738427584794
SMAD3.H14CORE.1.P.B	-1.8271973207970889	2.9393033535431496	-0.4595120027619599
SMAD4.H14CORE.1.P.B	5.032252779333059	-5.877565743228806	-2.3504519866220726
SNAI1.H14CORE.0.PSM.A	6.882066997435829	-6.27336117907437	-5.711385124092949
SOX10.H14CORE.1.PSM.A	-3.717135049928614	-0.010022538256336923	6.949865145681437
SOX30.H14CORE.0.P.C	0.7354477409162156	-1.074697581923329	-0.1487406319303162
SOX9.H14CORE.2.S.B	2.4136895116677826	-4.059073018623633	0.1489587951837827
SP1.H14CORE.2.P.B	1.382219759373663	0.2178563913558496	-3.4918595935195946
SP100.H14CORE.0.PSGI.A	3.5774035590959214	-4.128522162461702	-2.271464675446772
SP140.H14CORE.0.PSGIB.A	-1.2865242248027715	4.076025446370231	-2.786362456515689
SP5.H14CORE.1.P.B	2.465726045794696	-0.9139823565743285	-3.8010447191967667
SPI1.H14CORE.0.P.B	-0.6942953131167702	0.08050817915405321	1.3651529521671557
SRBP2.H14CORE.0.S.B	2.597416886302234	-2.614048525973699	-1.8211213859536188
SRF.H14CORE.0.PSM.A	-2.621547190321078	3.1578911940120338	1.2474311153940674
SUH.H14CORE.0.P.B	-2.0985072035932957	1.9153080611655844	1.5097774265029609
TAL1.H14CORE.1.P.B	-3.2505659474253368	1.3154594871571947	4.675189087804747
TBX1.H14CORE.0.S.B	0.006148102102016773	-0.0455324279241566	0.13682665118377618
TBX19.H14CORE.0.PS.A	4.2186495265104575	-5.342710297229245	-1.5811656578081383
TDIF1.H14CORE.0.PSG.A	2.5841909285206643	-4.315045156206521	0.4131279765850994
TEAD1.H14CORE.0.PSM.A	-2.3944856551058127	2.8745443499322647	0.763964693825562
TEAD1.H14CORE.2.S.C	0.5049017592356235	-0.31579632230563376	-0.5545386238075533
TEF.H14CORE.0.SM.B	0.6790006181036857	-1.411358908635517	0.32451131391635163
TERF1.H14CORE.0.PSGB.A	1.7411261298458918	-1.2746704759634009	-1.4515687103941013
TF2LY.H14CORE.0.SM.B	1.4408772883540693	0.8123442997132864	-3.6703260626546936
TF7L1.H14CORE.2.S.C	-1.3161610316984496	0.49918399526562096	1.974595066250192
TFE2.H14CORE.0.PS.A	5.985747076096934	-4.241272810127054	-6.464709781315587
THB.H14CORE.0.P.B	-3.4136942154059375	3.072614046396067	2.1194614086508463
TSH2.H14CORE.0.SG.A	1.3302275058869404	-1.7825249693981375	-0.23074222551145418
TWST1.H14CORE.0.P.B	-3.3679384276886077	2.2059498801293205	3.706714215793292
TYY1.H14CORE.0.PSM.A	0.7318856230578609	0.8815284046705626	-2.4343487234140118
USF2.H14CORE.0.PSM.A	3.2560415799729845	-2.039952935016833	-3.833235392717519
Z280A.H14CORE.0.P.B	-1.7718445943970729	1.839935269610495	0.7312866763814857
Z354A.H14CORE.0.P.B	-4.645709007722226	6.8433993641908915	0.41039574727389444
Z585B.H14CORE.0.P.C	-0.18498198907464633	2.056752740290398	-1.9903413600976492
Z705G.H14CORE.0.P.C	0.521802530677836	0.2608783714769722	-1.1288832343762787
Z780A.H14CORE.0.P.C	0.2394681213305536	1.4799464270364808	-2.11958884813249
Z780B.H14CORE.0.PSGI.A	-0.5104296121837206	0.9498904988171947	-0.364421536721214
ZBED4.H14CORE.0.SGIB.A	3.45765381960424	-4.505391867902755	-0.9948450090286878
ZBED5.H14CORE.0.PSGIB.A	1.276248434735558	-0.5771907590784044	-0.9921488448859977
ZBT12.H14CORE.0.P.B	1.5153546530640498	-1.3494050142373952	-1.3604266931132434
ZBT14.H14CORE.0.P.C	-0.43924971996157847	-1.3942866177613105	2.5928020543396153
ZBT16.H14CORE.0.P.B	0.37452444659036344	0.7675269415051817	-1.6957483021162865
ZBT22.H14CORE.0.SM.B	-0.9746681080927495	-0.5168281691173098	2.384967098077992
ZBT24.H14CORE.0.SG.A	-3.7511471096284223	3.5409809125384357	2.4166554687368023
ZBT41.H14CORE.0.PSG.A	-0.0329537081554763	0.020799405009092022	0.15090822608358426
ZBT47.H14CORE.0.PSG.A	-5.217638024349214	4.911848817004206	4.0268995930519935
ZBT49.H14CORE.0.P.C	3.402773067019745	-3.1555331125349952	-2.1182549250342935
ZBT7A.H14CORE.0.P.B	-5.324854301461484	4.693019540124135	4.466349896591058
ZBT7B.H14CORE.0.SM.B	1.853898284053468	0.22701972766634904	-3.9086028179224965
ZBT8A.H14CORE.0.PSGI.A	-1.1615235818163019	-0.41011643566526684	2.517592222957815
ZBTB2.H14CORE.0.SM.B	1.91864984495344	-0.9989285241111767	-2.3436731506854556
ZBTB6.H14CORE.0.P.B	-2.640183676678343	3.9693321228069265	0.40604283840288513
ZF64B.H14CORE.0.P.B	1.2060900996355444	-3.3221578242412666	1.633323491523134
ZF69B.H14CORE.0.P.C	-1.3444812419143746	2.4641837539372893	-0.4262618928162829
ZFP3.H14CORE.0.P.C	2.261970352222068	-2.707818413097352	-0.4823136035357579
ZFP37.H14CORE.0.P.C	1.207406164720205	-1.574726809070258	-0.19231533263116823
ZFP57.H14CORE.0.P.B	-4.7869213784591125	3.7661534730773583	4.31401003893129
ZFP69.H14CORE.0.P.C	3.793698549589003	-1.0780119609940746	-5.857320914609153
ZFP82.H14CORE.0.P.C	-1.7591725423115419	1.9529680490346066	0.9563132315107351
ZFP91.H14CORE.0.SGI.A	-3.0414600141402754	6.417189722463739	-2.1243003699765963
ZFX.H14CORE.0.P.B	0.7079890976663867	-0.696308238625569	-0.6185906782287681
ZIK1.H14CORE.0.P.C	1.2744886613650843	-0.3285699536794645	-1.5918119149098113
ZKSC4.H14CORE.0.SG.A	-2.4245072774036327	2.2948712334046237	1.8438680478117608
ZKSC8.H14CORE.0.P.B	-2.723776135660688	5.33451032811921	-1.5902310869057394
ZN100.H14CORE.1.P.B	-1.355289248752755	1.8349711663863846	0.3687379503083577
ZN112.H14CORE.0.P.C	4.951273691577756	-5.139838244193223	-3.1462736923634207
ZN132.H14CORE.0.P.C	-2.6518667163357295	2.038555349047501	2.3489576187009984
ZN134.H14CORE.0.P.C	-4.220459294027547	3.98334585230287	3.0749957697026806
ZN135.H14CORE.0.P.C	3.194445531580295	-3.1932984270117566	-2.2200277655679903
ZN136.H14CORE.0.P.B	-3.770348473795023	2.738436905418218	3.759648004761711
ZN140.H14CORE.0.P.B	-4.087802905642478	3.4947539101193192	3.012561954277703
ZN141.H14CORE.0.P.C	3.276278655736621	-2.7297288930482773	-2.5380852736398403
ZN142.H14CORE.0.PSGI.A	1.9062769267314719	-4.618843898470947	2.1261556262648016
ZN143.H14CORE.0.P.B	0.1844531676172965	-0.035781545282757114	0.02937275546982281
ZN148.H14CORE.0.P.B	-1.1990457131974674	1.2129437339322535	-0.07603030708736072
ZN154.H14CORE.0.P.C	-0.5924998873449863	-0.627120025939781	1.7604622473356757
ZN157.H14CORE.0.P.B	2.684285090002957	-3.078721771220037	-1.0078161060025879
ZN160.H14CORE.0.SG.A	1.9719399581060233	-1.9145133886626973	-0.6154415413352851
ZN165.H14CORE.0.P.C	-4.2566874306176254	4.240666924529153	2.940589198501751
ZN174.H14CORE.0.M.C	1.5670969303007753	-0.8231544454044364	-1.473230906618918
ZN180.H14CORE.0.P.C	-5.78738232027913	6.385114516450786	2.9616407025381775
ZN184.H14CORE.0.P.B	4.944356398794927	-3.235420634694498	-5.633726833055464
ZN189.H14CORE.0.P.B	-1.9568715588246504	3.2948468874699226	-0.27485319935507446
ZN205.H14CORE.0.P.C	3.4689136529367173	-3.6827452111084953	-1.746567596040169
ZN208.H14CORE.0.SGI.A	0.3923819073835209	2.0122645172012206	-3.1563768143801396
