	mean
CCDC28A	-2.130786507917988
RRAGD	3.401444639504402
HSF2	0.7539829655847198
PHF20	0.11168774864611493
HSD17B6	-2.345161870339909
NR1H3	-2.1963570807877963
NCAPH2	-1.266630208843465
TOMM34	-0.004558396050172568
SEC63	2.2398132039090477
KPNA6	0.9027966015434677
VIM	-3.1711507890183137
RNASET2	-0.6553698091121725
CD44	-2.109297600207622
KCNG1	-4.183851014357746
AGPAT4	1.2359490320072908
BTN3A1	-0.2999591516021964
MIPEP	-0.05163417699468699
PRKCH	-0.4766565114457244
INSRR	1.6564844571190391
IFNGR1	0.07125090119386607
B4GALT7	0.6766883495763715
VRK2	-0.05573479664519153
TNFRSF1B	-1.633973060550132
VEZT	1.6390951404397305
POU2F2	0.7136581642769309
BRD9	1.234582511290726
SNX1	-0.6195040632462575
TBPL1	0.514482558285148
BCLAF1	2.2659745375635016
SLC39A9	2.3782913630855735
ANK1	1.2891711015512146
TFB1M	-1.944622799458709
RABEP1	-1.4601220427169457
HMGB3	0.42202116936831185
NUP160	2.0319072796264708
BAK1	1.0829647318019062
IKZF2	-1.16600612813282
GRN	2.509340157456558
FAM13B	-0.45644884438113525
ARHGAP31	-3.9559355865067523
CENPQ	0.33347994798119907
RANBP3	-0.2712486808342905
ARID4A	0.6812322631553706
PNPLA6	0.602449681536353
IFT88	-1.1818050385698482
ALG1	-2.0413074481627267
ZCCHC8	-0.8194076159318372
ABCF2	0.058581306704437855
CHPF2	0.7673715748847894
LRRC7	-5.2011351170284374
FUT8	-0.20889300237400382
UBA6	0.6375518533601426
GAB2	1.71546546348777
ATP6V0A1	0.5690705805365576
PIAS1	1.4086768722863454
SLC4A7	-0.5207366264200869
APBA2	1.4222016555854553
MAP2K3	0.35086073101120263
TMSB10	3.253441315155782
ASTE1	-1.2453070682921141
RNF19A	0.1399306995812047
PEX3	0.7470975396324671
GABARAPL2	0.06436285340698523
SH3YL1	-0.7729914858394895
FAM136A	3.22967809055538
VCL	2.1527033141411995
DEPDC1B	0.027356158859598703
DAPK2	-0.6573258518579952
NSMAF	-0.21174348716203276
TIMP2	3.3841567884706776
RFC1	1.3114372298131598
TBC1D23	-0.6307927281001253
CUL3	0.46204012848524884
MYOM2	-0.5965992772085292
CYP46A1	-2.152596602088102
